표준점수,백분위
0,
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,2
69,2
70,2
71,3
72,3
73,3
74,4
75,5
76,6
77,7
78,7
79,8
80,9
81,10
82,12
83,13
84,14
85,16
86,18
87,19
88,21
89,23
90,25
91,27
92,30
93,32
94,34
95,37
96,40
97,42
98,45
99,48
100,50
101,52
102,55
103,58
104,60
105,63
106,66
107,68
108,70
109,73
110,75
111,77
112,79
113,81
114,82
115,84
116,86
117,87
118,88
119,90
120,91
121,92
122,93
123,93
124,94
125,95
126,96
127,97
128,97
129,97
130,98
131,98
132,98
133,99
134,99
135,99
136,99
137,99
138,99
139,99
140,99
141,99
142,99
143,99
144,99
145,99
146,99
147,99
148,99
149,99
150,99
151,99
152,99
153,99
154,99
155,99
156,99
157,99
158,99
159,99
160,99
161,99
162,99
163,99
164,99
165,99
166,99
167,99
168,99
169,99
170,99
171,99
172,99
173,99
174,99
175,99
176,99
177,99
178,99
179,99
180,99
